Date/Time,Temp_C,Dew Point Temp_C,Rel Hum_%,Wind Speed_km/h,Visibility_km,Press_kPa,Weather
1/1/2012 0:00,-1.3,-3.5,18,9,25,98.67,Clear
1/1/2012 1:00,7.4,2.8,20,24,24.1,99.37,Rain
1/1/2012 2:00,15.7,13.4,21,26,25,99.84,Cloudy
1/1/2012 3:00,4.9,-2.6,27,15,24.1,100.94,Mainly Clear
1/1/2012 4:00,-13.4,-19.7,30,4,25,102.32,Mostly Cloudy
1/1/2012 5:00,-3.3,-9.9,30,0,25,102.39,Mostly Cloudy
1/1/2012 6:00,3.8,1.2,30,19,25,98.5,Cloudy
1/1/2012 7:00,12,10,31,17,12.9,100.49,Rain
1/1/2012 8:00,14.8,10.9,34,11,24.1,101.67,Cloudy
1/1/2012 9:00,20,3.8,35,17,48.3,100.11,Clear
1/1/2012 10:00,-8.7,-14.6,36,22,24.1,100.46,Cloudy
1/1/2012 11:00,-6.2,-9.6,37,35,4.8,101.56,Snow
1/1/2012 12:00,2.7,-2.3,38,22,24.1,101.71,Mostly Cloudy
1/1/2012 13:00,9.5,7.8,40,13,6.4,100.9,Fog
1/1/2012 14:00,0.5,-2.3,41,17,25,102.16,Rain
1/1/2012 15:00,28.3,21,41,17,16.1,98.47,Cloudy
1/1/2012 16:00,23.8,17.6,42,9,25,100.52,Clear
1/1/2012 17:00,-6.8,-9.8,42,20,48.3,100.76,Mainly Clear
1/1/2012 18:00,2.3,-2.4,42,6,48.3,101.05,Cloudy
1/1/2012 19:00,-12.7,-17.2,43,17,48.3,101.16,Clear
1/1/2012 20:00,29.9,16.1,43,20,24.1,101.49,Mostly Cloudy
1/1/2012 21:00,21,12.9,44,7,24.1,100.58,Mostly Cloudy
1/1/2012 22:00,14.1,8.3,45,9,25,101.05,Clear
1/1/2012 23:00,29.5,16.8,45,4,48.3,101.07,Mainly Clear
2/1/2012 0:00,21,7.7,46,13,24.1,101.66,Mainly Clear
2/1/2012 1:00,24.8,17.6,49,11,48.3,101.19,Mostly Cloudy
2/1/2012 2:00,14.3,4.9,50,15,48.3,101.77,Mainly Clear
2/1/2012 3:00,22.3,19.1,50,11,25,101.85,Mainly Clear
2/1/2012 4:00,18.7,14.5,50,9,24.1,100.67,Cloudy
2/1/2012 5:00,-15.5,-24.1,51,30,48.3,101.22,Mainly Clear
2/1/2012 6:00,18.2,16.1,51,11,25,101.46,Mainly Clear
2/1/2012 7:00,28.2,14,51,11,24.1,101.67,Cloudy
2/1/2012 8:00,15.4,9.8,52,26,24.1,100.63,Cloudy
2/1/2012 9:00,18.6,4,52,0,48.3,101.11,Mostly Cloudy
2/1/2012 10:00,-7.3,-10.3,53,15,25,101.45,Mainly Clear
2/1/2012 11:00,9.1,6.2,53,6,16.1,102.34,Clear
2/1/2012 12:00,19.5,4,53,17,48.3,102.39,Cloudy
2/1/2012 13:00,-12,-18.2,54,22,25,100.94,Clear
2/1/2012 14:00,4.2,1.8,54,7,19.3,101,Mainly Clear
2/1/2012 15:00,-6.6,-12.2,54,7,24.1,101.33,Mainly Clear
2/1/2012 16:00,21.5,10.9,54,0,48.3,101.68,Clear
2/1/2012 17:00,16.2,10.9,54,24,25,99.86,Cloudy
2/1/2012 18:00,5.2,-6.9,54,11,48.3,100.08,Mostly Cloudy
2/1/2012 19:00,-6.8,-10.3,55,24,48.3,101.22,Mainly Clear
2/1/2012 20:00,1.3,-6,55,17,25,101.29,Cloudy
2/1/2012 21:00,11.9,8.4,55,17,24.1,101.38,Cloudy
2/1/2012 22:00,26,20.4,55,19,24.1,101.45,Mostly Cloudy
2/1/2012 23:00,12.5,9.8,56,7,8,100.88,"Rain,Fog"
3/1/2012 0:00,12.4,9.5,56,11,25,101.47,Mostly Cloudy
3/1/2012 1:00,13.4,9.2,56,4,25,101.48,Mainly Clear
3/1/2012 2:00,18.9,16.2,56,9,25,101.86,Clear
3/1/2012 3:00,22.2,5.5,57,19,48.3,100.88,Clear
3/1/2012 4:00,27.3,13.4,57,17,48.3,101.04,Mainly Clear
3/1/2012 5:00,-3.6,-4.3,57,7,9.7,101.32,Fog
3/1/2012 6:00,-6.8,-10.2,58,7,19.3,101.92,Cloudy
3/1/2012 7:00,27.6,8.9,58,20,48.3,102.33,Mostly Cloudy
3/1/2012 8:00,29,13.5,58,17,48.3,99.07,Cloudy
3/1/2012 9:00,-13.2,-17.1,58,13,25,101.43,Mostly Cloudy
3/1/2012 10:00,21.3,19.2,59,19,6.4,101.99,"Rain,Fog"
3/1/2012 11:00,11.7,-1.6,59,0,25,100.84,Mainly Clear
3/1/2012 12:00,18.9,13.5,59,15,25,100.95,Mainly Clear
3/1/2012 13:00,17.5,13.9,59,9,24.1,101.23,Mostly Cloudy
3/1/2012 14:00,12.6,9.8,59,19,24.1,101.56,Cloudy
3/1/2012 15:00,15.7,11.2,60,7,25,102.54,Mainly Clear
3/1/2012 16:00,18.7,15.6,60,22,24.1,99.88,Mostly Cloudy
3/1/2012 17:00,30.3,17.3,60,30,24.1,100.26,Clear
3/1/2012 18:00,-7.6,-13.1,60,15,48.3,100.69,Mainly Clear
3/1/2012 19:00,-12.1,-15,61,6,25,103.27,Clear
3/1/2012 20:00,0.2,-3,62,19,25,102.44,Mostly Cloudy
3/1/2012 21:00,15.7,11.6,62,9,24.1,100.47,Mainly Clear
3/1/2012 22:00,-4,-6.6,62,22,16.1,100.48,Snow
3/1/2012 23:00,13.7,9.7,62,7,24.1,101.57,Cloudy
4/1/2012 0:00,-17.5,-23.8,63,20,48.3,100.05,Mostly Cloudy
4/1/2012 1:00,2.3,-3.4,64,35,25,103.43,Snow
4/1/2012 2:00,-16.8,-23.9,64,9,25,100.33,Mainly Clear
4/1/2012 3:00,-5.4,-7.7,64,9,9.7,101.35,Freezing Drizzle
4/1/2012 4:00,4.9,3.6,64,22,19.3,101.68,Cloudy
4/1/2012 5:00,21.2,12.3,65,17,25,100.47,Clear
4/1/2012 6:00,-0.5,-3.8,65,13,24.1,100.6,Cloudy
4/1/2012 7:00,24.2,15.8,65,11,25,101.01,Mainly Clear
4/1/2012 8:00,25.2,16.7,66,15,24.1,99.95,Mainly Clear
4/1/2012 9:00,28.5,17,66,35,48.3,100.05,Mainly Clear
4/1/2012 10:00,1.9,-2.3,66,7,25,100.29,Mostly Cloudy
